dataset,accession
GlobalB,MN908947.3
GlobalA,MT159713.1
GlobalA,MT159716.1
GlobalA,MT450920.1
GlobalA,MT126808.1
GlobalA,MT534285.1
GlobalA,MT276597.1
GlobalA,MT066156.1
GlobalA,MT077125.1
GlobalA,MT428554.1
GlobalA,MT304474.1
GlobalA,MT304475.1
GlobalA,MT374101.1
GlobalA,MT506210.1
GlobalA,MT324062.1
GlobalA,EPI_ISL_457722
GlobalA,EPI_ISL_418241
GlobalA,EPI_ISL_418242
GlobalA,EPI_ISL_420037
GlobalA,EPI_ISL_420600
GlobalA,EPI_ISL_420599
GlobalA,EPI_ISL_420598
GlobalA,EPI_ISL_430795
GlobalA,EPI_ISL_430797
GlobalA,EPI_ISL_430798
GlobalA,EPI_ISL_430801
GlobalA,EPI_ISL_419831
GlobalA,EPI_ISL_419832
GlobalA,EPI_ISL_419833
GlobalA,EPI_ISL_407894
GlobalA,EPI_ISL_407896
GlobalA,EPI_ISL_414414
GlobalA,EPI_ISL_418799
GlobalA,EPI_ISL_450195
GlobalA,EPI_ISL_406844
GlobalA,EPI_ISL_416410
GlobalA,EPI_ISL_416411
GlobalA,EPI_ISL_416415
GlobalA,EPI_ISL_419734
GlobalA,EPI_ISL_426660
GlobalA,EPI_ISL_426967
GlobalA,EPI_ISL_427027
GlobalA,EPI_ISL_427030
GlobalA,EPI_ISL_427052
GlobalA,EPI_ISL_430558
GlobalA,EPI_ISL_455603
GlobalA,EPI_ISL_419655
GlobalA,EPI_ISL_419656
GlobalA,EPI_ISL_419670
GlobalA,EPI_ISL_437926
GlobalA,EPI_ISL_437932
GlobalA,EPI_ISL_437976
GlobalA,EPI_ISL_437981
GlobalA,EPI_ISL_437990
GlobalA,EPI_ISL_437993
GlobalA,EPI_ISL_437994
GlobalA,EPI_ISL_437995
GlobalA,EPI_ISL_438047
GlobalA,EPI_ISL_438102
GlobalA,EPI_ISL_419692
GlobalA,EPI_ISL_419693
GlobalA,EPI_ISL_415159
GlobalA,EPI_ISL_407976
GlobalA,EPI_ISL_425057
GlobalA,EPI_ISL_425058
GlobalA,EPI_ISL_425051
GlobalA,EPI_ISL_434363
GlobalA,EPI_ISL_451165
GlobalA,EPI_ISL_447129
GlobalA,EPI_ISL_447133
GlobalA,EPI_ISL_458139
GlobalA,EPI_ISL_450873
GlobalA,EPI_ISL_427293
GlobalA,EPI_ISL_429669
GlobalA,EPI_ISL_426580
GlobalA,EPI_ISL_415128
GlobalA,EPI_ISL_412964
GlobalA,EPI_ISL_413016
GlobalA,EPI_ISL_414014
GlobalA,EPI_ISL_414015
GlobalA,EPI_ISL_416032
GlobalA,EPI_ISL_443187
GlobalA,EPI_ISL_435674
GlobalA,EPI_ISL_435675
GlobalA,EPI_ISL_435676
GlobalA,EPI_ISL_435677
GlobalA,EPI_ISL_411902
GlobalA,EPI_ISL_415578
GlobalA,EPI_ISL_415580
GlobalA,EPI_ISL_412965
GlobalA,EPI_ISL_418836
GlobalA,EPI_ISL_415577
GlobalA,EPI_ISL_418843
GlobalA,EPI_ISL_413014
GlobalA,EPI_ISL_425177
GlobalA,EPI_ISL_413015
GlobalA,EPI_ISL_418377
GlobalA,EPI_ISL_418327
GlobalA,EPI_ISL_418325
GlobalA,EPI_ISL_418343
GlobalA,EPI_ISL_418379
GlobalA,EPI_ISL_418326
GlobalA,EPI_ISL_418345
GlobalA,EPI_ISL_450317
GlobalA,EPI_ISL_450747
GlobalA,EPI_ISL_445301
GlobalA,EPI_ISL_445274
GlobalA,EPI_ISL_445298
GlobalA,EPI_ISL_445319
GlobalA,EPI_ISL_445329
GlobalA,EPI_ISL_445346
GlobalA,EPI_ISL_445286
GlobalA,EPI_ISL_456117
GlobalA,EPI_ISL_456134
GlobalA,EPI_ISL_456135
GlobalA,EPI_ISL_456138
GlobalA,EPI_ISL_456149
GlobalA,EPI_ISL_456126
GlobalA,EPI_ISL_456143
GlobalA,EPI_ISL_434533
GlobalA,EPI_ISL_434535
GlobalA,EPI_ISL_434536
GlobalA,EPI_ISL_434540
GlobalA,EPI_ISL_434538
GlobalA,EPI_ISL_434539
GlobalA,EPI_ISL_454581
GlobalA,EPI_ISL_454583
GlobalA,EPI_ISL_455566
GlobalA,EPI_ISL_454592
GlobalA,EPI_ISL_454578
GlobalA,EPI_ISL_454605
GlobalA,EPI_ISL_451934
GlobalA,EPI_ISL_416742
GlobalA,EPI_ISL_426883
GlobalA,EPI_ISL_426887
GlobalA,EPI_ISL_426890
GlobalA,EPI_ISL_426894
GlobalA,EPI_ISL_426884
GlobalA,EPI_ISL_426886
GlobalA,EPI_ISL_417950
GlobalA,EPI_ISL_420843
GlobalA,EPI_ISL_417946
GlobalA,EPI_ISL_417437
GlobalA,EPI_ISL_417439
GlobalA,EPI_ISL_417440
GlobalA,EPI_ISL_414647
GlobalA,EPI_ISL_429295
GlobalA,EPI_ISL_444828
GlobalA,EPI_ISL_436965
GlobalA,EPI_ISL_444964
GlobalA,EPI_ISL_429412
GlobalA,EPI_ISL_429418
GlobalA,EPI_ISL_429504
GlobalA,EPI_ISL_416142
GlobalA,EPI_ISL_416143
GlobalA,EPI_ISL_417482
GlobalA,EPI_ISL_422563
GlobalA,EPI_ISL_430820
GlobalA,EPI_ISL_430819
GlobalA,EPI_ISL_407071
GlobalA,EPI_ISL_407073
GlobalA,EPI_ISL_414040
GlobalA,EPI_ISL_414041
GlobalA,EPI_ISL_414042
GlobalA,EPI_ISL_414043
GlobalA,EPI_ISL_414044
GlobalA,EPI_ISL_417216
GlobalA,EPI_ISL_424051
GlobalA,EPI_ISL_423609
GlobalA,EPI_ISL_423691
GlobalA,EPI_ISL_423699
GlobalA,EPI_ISL_423083
GlobalA,EPI_ISL_425023
GlobalA,EPI_ISL_423300
GlobalA,EPI_ISL_423306
GlobalA,EPI_ISL_420065
GlobalA,EPI_ISL_450498
GlobalA,EPI_ISL_457725
GlobalA,EPI_ISL_457727
GlobalA,EPI_ISL_457729
GlobalA,EPI_ISL_457740
GlobalA,EPI_ISL_407079
GlobalA,EPI_ISL_418391
GlobalA,EPI_ISL_418392
GlobalA,EPI_ISL_418394
GlobalA,EPI_ISL_418397
GlobalA,EPI_ISL_418403
GlobalA,EPI_ISL_418406
GlobalA,EPI_ISL_412971
GlobalA,EPI_ISL_413603
GlobalA,EPI_ISL_418430
GlobalA,EPI_ISL_420604
GlobalA,EPI_ISL_437689
GlobalA,EPI_ISL_437690
GlobalA,EPI_ISL_414600
GlobalA,EPI_ISL_414626
GlobalA,EPI_ISL_414628
GlobalA,EPI_ISL_428358
GlobalA,EPI_ISL_406596
GlobalA,EPI_ISL_406597
GlobalA,EPI_ISL_411219
GlobalA,EPI_ISL_408430
GlobalA,EPI_ISL_411218
GlobalA,EPI_ISL_408431
GlobalA,EPI_ISL_443300
GlobalA,EPI_ISL_417335
GlobalA,EPI_ISL_417336
GlobalA,EPI_ISL_414625
GlobalA,EPI_ISL_410486
GlobalA,EPI_ISL_428855
GlobalA,EPI_ISL_428856
GlobalA,EPI_ISL_420140
GlobalA,EPI_ISL_420142
GlobalA,EPI_ISL_416479
GlobalA,EPI_ISL_416477
GlobalA,EPI_ISL_416480
GlobalA,EPI_ISL_415641
GlobalA,EPI_ISL_416478
GlobalA,EPI_ISL_416481
GlobalA,EPI_ISL_415644
GlobalA,EPI_ISL_452103
GlobalA,EPI_ISL_437229
GlobalA,EPI_ISL_437259
GlobalA,EPI_ISL_437265
GlobalA,EPI_ISL_451937
GlobalA,EPI_ISL_451939
GlobalA,EPI_ISL_451944
GlobalA,EPI_ISL_406862
GlobalA,EPI_ISL_450206
GlobalA,EPI_ISL_450209
GlobalA,EPI_ISL_450200
GlobalA,EPI_ISL_450199
GlobalA,EPI_ISL_450201
GlobalA,EPI_ISL_450203
GlobalA,EPI_ISL_450205
GlobalA,EPI_ISL_414499
GlobalA,EPI_ISL_414504
GlobalA,EPI_ISL_414505
GlobalA,EPI_ISL_414508
GlobalA,EPI_ISL_414509
GlobalA,EPI_ISL_414574
GlobalA,EPI_ISL_422382
GlobalA,EPI_ISL_422387
GlobalA,EPI_ISL_422405
GlobalA,EPI_ISL_422394
GlobalA,EPI_ISL_422397
GlobalA,EPI_ISL_422398
GlobalA,EPI_ISL_422403
GlobalA,EPI_ISL_430469
GlobalA,EPI_ISL_434480
GlobalA,EPI_ISL_434481
GlobalA,EPI_ISL_437880
GlobalA,EPI_ISL_437882
GlobalA,EPI_ISL_437883
GlobalA,EPI_ISL_447643
GlobalA,EPI_ISL_437874
