genbank_accession,gisaid_epi_isl,Originating Lab,Submitting Lab,Author
MT019529,EPI_ISL_402123,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",Lili Ren et al A
MN996529,EPI_ISL_402128,Wuhan Jinyintan Hospital,"Wuhan Institute of Virology, Chinese Academy of Sciences",Peng Zhou et al
,EPI_ISL_450196,bumrungrad international hospital,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Pilailuk et al A
LR757998,EPI_ISL_406798,General Hospital of Central Theater Command of People's Liberation Army of China,"BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China",Weijun Chen et al (https://dx.doi.org/10.1016/S0140-6736(20)30251-8)
MT019531,EPI_ISL_403930,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",Lili Ren et al B (https://dx.doi.org/10.1093/cid/ciaa203/5780800)
,EPI_ISL_402121,"National Institute for Viral Disease Control and Prevention, China CDC","National Institute for Viral Disease Control and Prevention, China CDC",Wenjie Tan et al (https://dx.doi.org/10.1056/NEJMoa2001017)
MT106053,EPI_ISL_411955,California Department of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
MN996527,EPI_ISL_402127,Wuhan Jinyintan Hospital,"Wuhan Institute of Virology, Chinese Academy of Sciences",Peng Zhou et al
,EPI_ISL_413015,Public Health Ontario Laboratory,National Microbiology Laboratory,Shari Tyson et al
MT027062,EPI_ISL_408008,California Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al B (https://dx.doi.org/10.1101/2020.03.09.20032896)
,EPI_ISL_425177,Public Health Ontario,Public Health Agency of Canada - National Microbiology Laboratory,Amrit S. Boese et al
,EPI_ISL_413014,Public Health Ontario Laboratory,Ontario Agency for Health Protection and Promotion (OAHPP),Alireza Eshaghi et al
,EPI_ISL_418327,Public Health Ontario Laboratories,Public Health Ontario Laboratories,Alireza Eshaghi et al
,EPI_ISL_451330,West China Hospital of Sichuan University,State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_451347,West China Hospital of Sichuan University,State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_451355,West China Hospital of Sichuan University,State Key Laboratory of Biotherapy of Sichuan University,Baowen Du et al
,EPI_ISL_417518,Laboratory Medicine,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan",Kuo-Chien Tsao et al A (https://dx.doi.org/10.1080/22221751.2020.1782271)
,EPI_ISL_455314,Hospital Virgen del Rocio,Instituto de Salud Carlos III,Iglesias-Caballero et al
,EPI_ISL_425118,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al A
,EPI_ISL_412869,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
,EPI_ISL_407071,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_407073,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)
,EPI_ISL_434568,,Microbiology,To et al
,EPI_ISL_413523,Indian Council of Medical Research-National Institute of Virology,"National Influenza Center, Indian Council of Medical Research-National Institute of Virology",Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)
,EPI_ISL_412871,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al A
,EPI_ISL_426168,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al A
,EPI_ISL_412870,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention","Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",Jeong-Min Kim et al A
